name,brand,price,ratings,specs_score,os,processor,ram,storage,graphics,screen_size,resoultion,cores,threads,warranty,image_url
Apple MacBook Air 15 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),Apple,119490.0,4.7,,Mac OS,Apple M4,16 GB  RAM,256 GB SSD,Apple 10 Core GPU,15.3 inches,2880 x 1864 pixels,10 Cores (4P + 6E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iEZZMd8Zd-w280-h280/apple-macbook-air-15.webp
Asus VivoBook 14 X1404VA-NK804WS Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),Asus,43990.0,4.7,52.0,Windows 11 OS,13th Gen Intel Core i5 1334U,8 GB DDR4 RAM,512 GB SSD,Intel Graphics,14 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-idFhSGB0x-w280-h280/asus-vivobook-14-x14.webp
Asus VivoBook 14 X1404VA-NK760WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Asus,34750.0,4.75,52.0,Windows 11 OS,13th Gen Intel Core i3 1315U,8 GB DDR4 RAM,512 GB SSD,Intel Graphics,14 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iTKdqZ8Ep-w280-h280/asus-vivobook-14-x14.webp
Asus Vivobook 15 X1502VA-BQ837WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Asus,62990.0,4.05,52.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB  RAM,512 GB SSD,Integrated Intel iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iqHRGlOEb-w280-h280/asus-vivobook-15-x15.webp
HP Victus 15-FA1415TX  Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ RTX 3050A),HP,75119.0,4.3,63.0,Windows 11 OS,12th Gen Intel Core i7 12650H,16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050A,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iDdsL2E5P-w280-h280/hp-victus-15-fa1415t.webp
HP Zbook Firefly 14 G10 918R5PA Workstation Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Pro),HP,87999.0,4.5,64.0,Windows 11 OS,13th Gen Intel Core i5 1335U,16 GB DDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,14 inches,1920 x 1200 pixels,10 Cores (2P + 8E), 12 Threads,3 Year Warranty,https://cdn1.smartprix.com/rx-imS6l3Q6A-w280-h280/hp-zbook-firefly-14.webp
HP Pavilion x360 14-ek1148TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),HP,67153.0,4.35,60.0,Windows 11 OS,13th Gen Intel Core i5 1335U,16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,14 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iRcOR5rKU-w280-h280/hp-pavilion-x360-14.webp
HP Pavilion AI 14-ew1112TU Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win 11),HP,78990.0,4.05,64.0,Windows 11 OS,Intel Core Ultra 5 Series 1 125H,16 GB LPDDR5x RAM,512 GB SSD,Intel Graphics,14 inches,2560 x 1600 pixels,14 Cores (4P + 8E + 2LP-E), 18 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iUKsnS2xb-w280-h280/hp-pavilion-ai-14-ew.webp
Lenovo LOQ ‎15IRX9 83DV00XEIN Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050),Lenovo,91790.0,4.7,66.0,Windows 11 OS,13th Gen Intel Core i7 13650HX,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,14 Cores (6P + 8E),,1 Year Warranty,https://cdn1.smartprix.com/rx-i7ugyjmIB-w280-h280/lenovo-loq-15irx9-83.webp
HP Pavilion x360 14-ek1152TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),HP,98499.0,4.05,66.0,Windows 11 OS,13th Gen Intel Core i7 1355U,16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,14 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iaIqlM6tB-w280-h280/hp-pavilion-x360-14.webp
Lenovo LOQ 15IAX9 83GS00LLIN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Lenovo,74990.0,4.15,65.0,Windows 11 OS,12th Gen Intel Core i5 12450HX,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i9WRVA9DE-w280-h280/lenovo-loq-15iax9-83.webp
Asus Zenbook A14 UX3407RA-QD054WS Laptop (Snapdragon X Elite X1E 78 100/ 16GB/ 512GB SSD/ Win11),Asus,89990.0,4.0,53.0,Windows 11 OS,Qualcomm Snapdragon X Elite X1E 78 100,16 GB LPDDR5X RAM,512 GB SSD,Qualcomm Adreno,14 inches,1920 x 1200 pixels,12 Cores, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iaUjRWqRk-w280-h280/asus-zenbook-a14-ux3.webp
Asus Vivobook 16 X1607QA-MB050WS Laptop (Snapdragon X X1 26 100/ 16GB/ 512GB SSD/ Win11),Asus,57990.0,4.25,,Windows 11 OS,Qualcomm Snapdragon X X1 26 100,16 GB LPDDR5X RAM,512 GB SSD,Qualcomm Adreno GPU,16 inches,1920 x 1200 pixels,Octa Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iKd2xA4iM-w280-h280/asus-vivobook-16-x16.webp
Asus Vivobook 16X K3605VC-RP413WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Asus,64400.0,4.55,60.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA Geforce RTX 3050,16 inches,1920 x 1200 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iYjjTiVSK-w280-h280/asus-vivobook-16x-k3.webp
Dell Inspiron 5640 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Dell,63990.0,4.65,60.0,Windows 11 OS,13th Gen Intel Core i5 1334U,16 GB DDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,16 inches,1920 x 1200 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iRlzZqQ8k-w280-h280/dell-inspiron-5640-l.webp
Asus Vivobook 15 X1504VA-NJ2325WS Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Asus,37990.0,4.3,,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB  RAM,512 GB SSD,Integrated Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-inCWp9q7y-w280-h280/asus-vivobook-15-x15.webp
HP Victus 15-fa2700TX  Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP,73490.0,4.6,62.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i8VZ9gBCw-w280-h280/hp-victus-15-fa2700t.webp
HP Victus 15-fa2703TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,64490.0,4.65,61.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iObegZIE3-w280-h280/hp-victus-15-fa2703t.webp
Asus Zenbook 14 OLED 2025 UX3405CA-PZ348WS Laptop (Intel Core Ultra 7 255H/ 32GB/ 1TB SSD/ Win11 Home),Asus,117990.0,4.25,79.0,Windows 11 OS,Intel Core Ultra 7 255H,32 GB LPDDR5X RAM,1 TB SSD,Intel Integrated Arc,14 inches,2880 x 1800 pixels,16 Cores (6P + 8E + 2LP-E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i9S49Ftx0-w280-h280/asus-zenbook-14-oled.webp
Asus Vivobook S 14 OLED 2025 S5406SA-QD098WS Laptop (Intel Core Ultra 5 226V/ 16GB/ 512GB SSD/ Win11 Home),Asus,79990.0,4.0,59.0,Windows 11 OS,5th Gen Intel Core Ultra 5 226V,16 GB LPDDR5X RAM,512 GB SSD,Intel Integrated Arc,14 inches,1920 x 1200 pixels,Octa Core (4P + 4LP-E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ihW4PH3Pt-w280-h280/asus-vivobook-s-14-o.webp
Asus Gaming V16 V3607VU-RP275WS Laptop ( Intel Core 7 240H/ 16GB/ 512GB SSD/ Win11 / 6GB Graph),Asus,86990.0,4.45,63.0,Windows 11 OS,7th Gen Intel Core 7 240H,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,16 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iCvKR5ncv-w280-h280/asus-gaming-v16-v360.webp
Asus Vivobook 14 2025 X1407CA-LY102WS Laptop (Intel Core Ultra 5 225H/ 16GB/ 512GB SSD/ Win11),Asus,68990.0,4.45,65.0,Windows 11 OS,Intel Core Ultra 5 225H,16 GB DDR5 RAM,512 GB SSD,Intel Integrated Arc,14 inches,1920 x 1200 pixels,14 Cores (4P + 8E + 2LP-E), 14 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iNBZWvh1W-w280-h280/asus-vivobook-14-202.webp
Asus Vivobook 16 2025 X1607CA-MB142WS Laptop (Intel Core Ultra 5 225H/ 16GB/ 512GB SSD/ Win11),Asus,68990.0,4.3,64.0,Windows 11 OS,Intel Core Ultra 5 225H,16 GB DDR5 RAM,512 GB SSD,Intel Graphics,16 inches,1920 x 1200 pixels,14 Cores (4P + 8E + 2LP-E), 14 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ioajQpl6f-w280-h280/asus-vivobook-16-202.webp
Asus Vivobook Go 15 E510KA-EJ9011WS Laptop (Intel Celeron N4500/ 8GB/ 512GB SSD/ Win11 Home),Asus,24990.0,4.75,,Windows 11 OS,Intel Celeron N4500,8 GB DDR4 RAM,512 GB SSD,Intel HD Graphics,15.6 inches,1920 x 1080 pixels,Dual Core, 2 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iMKUpcQDD-w280-h280/asus-vivobook-go-15.webp
Asus Vivobook 16 X1605VA-MB9946WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home),Asus,67999.0,4.6,64.0,Windows 11 OS,13th Gen Intel Core i9 13900H,16 GB DDR4 RAM,512 GB SSD,Intergrated Intel Iris Xe Graphics,16 inches,1920 x 1200 pixels,14 Cores (6P + 8E), 20 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iyL33HuPN-w280-h280/asus-vivobook-16-x16.webp
HP ‎15-fd0468TULaptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,64990.0,4.3,59.0,Windows 11 OS,13th Gen Intel Core i7 1355U,16 GB DDR4 RAM,512 GB SSD,‎Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-is64Y57mE-w280-h280/hp-15-fd0468tulaptop.webp
Asus Vivobook 14 Flip TP3407SA-QL024WS Laptop (Intel Core Ultra 5 226V/ 16GB/ 512GB SSD/Win11),Asus,86990.0,4.3,60.0,Windows 11 OS,5th Gen Intel Core Ultra 5 226V,16 GB LPDDR5X RAM,512 GB SSD,Intel Integrated Arc,14 inches,1920 x 1200 pixels,Octa Core (4P + 4LP-E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iMH0tEptt-w280-h280/asus-vivobook-14-fli.webp
Dell Inspiron 5440 OIN5440340401RINU1 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Dell,62990.0,4.3,55.0,Windows 11 OS,13th Gen Intel Core i5 1334U,16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,14 inches,2220 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iClY32XUQ-w280-h280/dell-inspiron-5440-o.webp
Asus Zenbook S14 OLED UX5406SA-PZ7762WS Laptop (Intel Core Ultra 7 Processor 258V/ 32GB/ 1TB SSD/ Win11 Home),Asus,139990.0,4.6,66.0,Windows 11 OS,Intel Core Ultra 7 Series 2 258V,32 GB LPDDR5X RAM,1 TB SSD,Intel Arc Graphics,14 inches,2880 x 1800 pixels,Octa Core (4P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ipDsqyY57-w280-h280/asus-zenbook-s14-ole.webp
Lenovo IdeaPad 5 14IRH9 83KX0059IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,73490.0,4.7,55.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB LPDDR5X RAM,512 GB SSD,Integrated Intel UHD Graphics,14 inches,1920 x 1200 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iFCVOgvDK-w280-h280/lenovo-ideapad-5-14i.webp
Lenovo IdeaPad 5 14IRH9 83KX0058IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,73490.0,4.05,55.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB LPDDR5X RAM,512 GB SSD,Intel Integrated UHD,14 inches,1920 x 1200 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i3UsZjmOM-w280-h280/lenovo-ideapad-5-14i.webp
Lenovo IdeaPad Slim 3 15IAH8 83ER00KRIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,46790.0,4.6,57.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iFaRgZ2Oa-w280-h280/lenovo-ideapad-slim.webp
Acer 15 Aspire Lite AL15-52H Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),Acer,47700.0,4.15,57.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,1 TB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iUPm7QqDW-w280-h280/acer-15-aspire-lite.webp
Acer Aspire 3 A325-42 UN.34QSI.00F Laptop (AMD Ryzen 3 7330U/ 16GB/ 512GB SSD/ Win11),Acer,29990.0,4.2,51.0,Windows 11 OS,7th Gen AMD Ryzen 3 7330U,16 GB LPDDR4X RAM,512 GB SSD,Intel UHD,15.8 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iyxpbpKYm-w280-h280/acer-aspire-3-a325-4.webp
Acer 15 TravelMate TMP215-53 Business Laptop (11th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Acer,38719.0,4.4,59.0,Windows 11 OS,11th Gen Intel Core i3 1115G4,16 GB DDR4 RAM,512 GB SSD,Intel Graphics,15.6 inches,1920 x 1080 pixels,Dual Core, 4 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-icoJ8PZ0w-w280-h280/acer-15-travelmate-t.webp
Acer TravelMate TMP215-53 Business Laptop (11th Gen Core i3/ 16GB/ 256GB SSD/ Win11),Acer,39990.0,4.4,57.0,Windows 11 OS,11th Gen Intel Core i3 1115G4,16 GB DDR4 RAM,256 GB SSD,Intel Graphics,15.6 inches,1920 x 1080 pixels,Dual Core, 4 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iInb09Xuf-w280-h280/acer-travelmate-tmp2.webp
Lenovo IdeaPad 1 15ALC7 82R4010DIN Laptop (AMD Ryzen 5 5625U /16GB/ 512GB SSD/ Win11 Home),Lenovo,45900.0,4.5,60.0,Windows 11 OS,5th Gen AMD Ryzen 5 5625U,16 GB DDR4 RAM,512 GB SSD,AMD Radeon,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i6K6YjOss-w280-h280/lenovo-ideapad-1-15a.webp
Lenovo IdeaPad Slim 3 15IAH8 83ER00KPIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Lenovo,47990.0,4.7,56.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iGPeZYubn-w280-h280/lenovo-ideapad-slim.webp
Lenovo IdeaPad Slim 3 ‎14IAH8 83EQ0073IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,50999.0,4.65,57.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD Graphics,14 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iMoGLo0Z1-w280-h280/lenovo-ideapad-slim.webp
Asus ROG Strix SCAR 16 (2025) G635LX-RW158WS Gaming Laptop (Intel Core Ultra 9 Processor 275HX/ 32GB/ 2TB SSD/ Win11 Home/ RTX 5090 24 GB Graphics),Asus,424990.0,4.3,,Windows 11 OS,Intel Core Ultra 9 275HX,32 GB DDR5 RAM,2 TB SSD,24 GB NVIDIA GeForce RTX 5090,16 inches,2560 x 1600 pixels,24 Cores (8P + 16E), 24 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i6dHGA63i-w280-h280/asus-rog-strix-scar.webp
HP B12V5PT Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),HP,36990.0,4.7,53.0,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB DDR4 RAM,512 GB SSD,Intel Integrated Graphics,15.6 inches,1366 x 768 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iTbXqVtL1-w280-h280/hp-b12v5pt-laptop-13.webp
Lenovo IdeaPad Slim 3 83EM00H0IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Lenovo,54570.0,4.7,55.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB LPDDR5 RAM,512 GB SSD,Integrated Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iGIZXm9Bd-w280-h280/lenovo-ideapad-slim.webp
Acer Aspire Lite AL15-53 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Acer,42800.0,4.35,56.0,Windows 11 OS,13th Gen Intel Core i5 1334U,16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i1Wq2xKH4-w280-h280/acer-aspire-lite-al1.webp
MSI Thin 15 B12UC-2239IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),MSI,69990.0,4.35,60.0,Windows 11 OS,12th Gen Intel Core i7 12650H,16 GB  RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-i1c8Yb12q-w280-h280/msi-thin-15-b12uc-22.webp
HP 255 G10 B15J0PT Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Dos),HP,33151.0,4.65,,DOS OS,7th Gen AMD Ryzen 5 7520U,8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1366 x 768 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i73rJ1GKT-w280-h280/hp-255-g10-b15j0pt-l.webp
Dell Latitude 3450 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Dell,65900.0,4.45,,Windows 11 OS,13th Gen Intel Core i5,16 GB DDR5 RAM,512 GB SSD,Intel Graphics,14 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iOIUL4mF3-w280-h280/dell-latitude-3450-l.webp
Lenovo Yoga Slim 7i Aura Edition (Intel Core Ultra 7 258V/ 32GB/ 1TB/ Win11),Lenovo,147850.0,4.6,73.0,Windows 11 OS,Intel Core Ultra 7 258V,32 GB LPDDR5x RAM,1 TB SSD,Intel Arc Graphics,15.3 inches,2880 x 1800 pixels,Octa Core (4P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iEXZUr6qo-w280-h280/lenovo-yoga-slim-7i.webp
HP ZBook Firefly 14 G11 A1VL0PT Laptop (Intel Core Ultra 7/16 GB/ 1TB SSD/ Win11/ 4GB Graphics),HP,131999.0,4.65,73.0,Windows 11 OS,Intel Core Ultra 7 Series 1 155H,16 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA RTX A500,14 inches,1920 x 1200 pixels,16 Cores (6P + 8E + 2LP-E), 22 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iM1SD0lIs-w280-h280/hp-zbook-firefly-14.webp
HP 255 G10 B1FW9PT Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11),HP,27999.0,4.7,,Windows 11 OS,7th Gen AMD Ryzen 3 7320U,8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1366 x 768 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i53tBEfZm-w280-h280/hp-255-g10-b1fw9pt-l.webp
HP 250R G9 B10MTAT Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Dos),HP,33990.0,4.2,52.0,DOS OS,13th Gen Intel Core i3 1315U,8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD Graphics,15.6 inches,1366 x 768 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i80wJcxq9-w280-h280/hp-250r-g9-b10mtat-l.webp
HP 240R G9 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),HP,35990.0,4.1,,Windows 11 OS,12th Gen Intel Core i3 1315U,16 GB  RAM,512 GB SSD,Intel Integrated Graphics,14 inches,1366 x 720 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i5xW7ArZX-w280-h280/hp-240r-g9-laptop-13.webp
HP Victus 16-wf1150TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 4060),HP,135990.0,4.7,79.0,Windows 11 OS,14th Gen Intel Core i7 14650HX,16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,16.1 inches,1920 x 1080 pixels,16 Cores (8P + 8E), 24 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iLvGcu4Gw-w280-h280/hp-victus-16-wf1150t.webp
Asus Vivobook S15 K5504VAB-BN416WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,62540.0,4.55,54.0,Windows 11 OS,13th Gen Intel Core i5 13500H,16 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 pixels,12 Cores (4P + 8E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iKvhKoM3r-w280-h280/asus-vivobook-s15-k5.webp
Acer Swift Go 14 SFG14-01 NX.KYXSI.001 AI Laptop (Snapdragon X Plus/ 16GB/ 512GB SSD/ Win11 Home),Acer,77990.0,4.5,,1 Year Warranty,Qualcomm Snapdragon X Plus,512 GB SSD,Qualcomm Adreno,"14.5 inches, 2560 x 1440 pixels, Touch Screen",Windows 11 OS,,16 GB LPDDR5X RAM,,2 USB 3.0 Ports,https://cdn1.smartprix.com/rx-iGJncDiNe-w280-h280/acer-swift-go-14-sfg.webp
HP OmniBook X 14-fe1011QU AI Laptop (Snapdragon X Plus X1P-42-100/ 16GB/ 512GB SSD/ Win11),HP,87999.0,4.15,50.0,Windows 11 OS,Qualcomm Snapdragon X Plus X1P-42-100,16 GB LPDDR5X RAM,512 GB SSD,Qualcomm Adreno GPU,14 inches,2240 x 1400 pixels,Octa Core,,1 Year Warranty,https://cdn1.smartprix.com/rx-iO0E935gj-w280-h280/hp-omnibook-x-14-fe1.webp
Lenovo IdeaPad Slim 3 82XM00G1IN Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,43992.0,4.6,50.0,Windows 11 OS,7th Gen AMD Ryzen 5 7530U,8 GB  RAM,512 GB SSD,AMD Radeon Graphics,14 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i0l6m8Gyi-w280-h280/lenovo-ideapad-slim.webp
Acer Aspire Lite AL15-53 Laptop (Intel Core i3 1305U / 8GB/ 512GB SSD/ Win11),Acer,33990.0,4.4,52.0,Windows 11 OS,13th Gen Intel Core i3 1305U,8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 6 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iRW2h5mtR-w280-h280/acer-aspire-lite-al1.webp
Acer 15 ALG ‎AL15G-53 Gaming Laptop (13th Gen Intel Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB RTX 3050 Graphics),Acer,69999.0,4.65,64.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB DDR4 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iQYWmZBaS-w280-h280/acer-15-alg-al15g-53.webp
Dell Inspiron 7640 Laptop (Intel Core i5-13420H/ 16GB/ 512GB SSD/ Win11),Dell,71589.0,4.7,51.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB sLPDDR5 RAM,512 GB SSD,Intel Graphics,16 inches,1920 x 1200 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-id2XRyvZr-w280-h280/dell-inspiron-7640-l.webp
