name,brand,price,ratings,specs_score,os,processor,ram,storage,graphics,screen_size,resoultion,cores,threads,warranty,image_url
MSI VenturePro A15 A3HWEG-011IN Laptop (AMD Ryzen 7 350/ 16GB/ 1TB SSD/ Win11/ 8GB Graphics),MSI,124990.0,4.7,70.0,Windows 11 OS,AMD Ryzen 7 350,16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 5050,16 inches,1920 x 1080 pixels,Octa Core, 16 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-iSpz0V0JG-w280-h280/msi-venturepro-a15-a.webp
Lenovo ThinkBook 14 21SGA02YIG Laptop (Intel Core 7 240H/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,81990.0,4.25,50.0,Windows 11 OS,Intel Core 7 240H,16 GB  RAM,512 GB SSD,Intel Graphics,14 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iuGDLsx42-w280-h280/lenovo-thinkbook-14.webp
HP 255 G10 BJ3S9AT-1 Laptop (AMD Ryzen 3 7330U/ 8GB/ 512GB SSD/ Win11),HP,33290.0,4.6,59.0,Windows 11 OS,7th Gen AMD Ryzen 3 7330U,8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ipZAfsw3y-w280-h280/hp-255-g10-bj3s9at-1.webp
Dell 16 Alienware CAN16250CTO03MINO Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win 11/ 24GB RTX5090),Dell,472990.0,4.6,,Windows 11 OS,Intel Core Ultra 9 275HX,64 GB DDR5 RAM,2 TB SSD,24 GB NVIDIA GeForce RTX 5090,16 inches,2560 x 1600 pixels,24 Cores (8P + 16E), 24 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iG5m35cmq-w280-h280/dell-16-alienware-ca.webp
MSI Katana 15 B14WFK-102IN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB RTX 5060 Graph),MSI,134990.0,4.25,71.0,Windows 11 OS,14th Gen Intel Core i7 14650HX,16 GB  RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 5060,15.6 inches,2560 x 1440 pixels,16 Cores (8P + 8E), 24 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-iDyxlNJ6Q-w280-h280/msi-katana-15-b14wfk.webp
Asus Vivobook Go 15 E1504FA-BQ2523WS Laptop (AMD Ryzen 5 7520U / 8GB/ 512GB SSD/ Win11 Home),Asus,36990.0,4.3,51.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U,8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iwjN4yqlr-w280-h280/asus-vivobook-go-15.webp
Apple MacBook Pro 14 Laptop (Apple M5/ 16GB/ 1TB SSD/ macOS),Apple,183490.0,4.25,53.0,Mac OS,Apple M5,16 GB  RAM,1 TB SSD,10 Core GPU,14.2 inches,3024 x 1964 pixels,10 Cores (4P + 6E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iXzYk5hsy-w280-h280/apple-macbook-pro-14.webp
Asus Expertbook B3 B3404CVAB-Q50884X Laptop (13th Gen Core i5/ 16GB/ 512GB/ Win11),Asus,120990.0,4.25,59.0,Windows 11 OS,13th Gen Intel Core i5 1335U,16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,14 inches,1920 x 1200 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i4Y4AjNBz-w280-h280/asus-expertbook-b3-b.webp
HP 15-hr0009TU Laptop (Intel Core 5 120U/ 16GB/ 512GB SSD/ Win11 Home),HP,56999.0,4.65,,Windows 11 OS,Intel Core 5 120U,16 GB  RAM,512 GB SSD,Intel Integrated,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i0RhnSHPh-w280-h280/hp-15-hr0009tu-lapto.webp
Acer Aspire 14 AS14H-53 UN.36CSI.005 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/Win 11),Acer,56990.0,4.25,52.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated UHD,14 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i9b1pYHMd-w280-h280/acer-aspire-14-as14h.webp
HP 15-fc0690au Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),HP,45990.0,4.4,51.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U,16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iQb71jNbP-w280-h280/hp-15-fc0690au-lapto.webp
Acer Aspire 16 AI A16-11M NX.JLNSI.001 Laptop (Qualcomm Snapdragon X X1-26-100/ 16GB/ 512GB SSD/ Win11 Home),Acer,56990.0,4.45,,Windows 11 OS,Qualcomm Snapdragon X X1-26-100,16 GB LPDDR5X RAM,512 GB SSD,Qualcomm Adreno SD X Adreno X1-45,16 inches,1920 x 1200 pixels,Octa Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iU7HMtGjR-w280-h280/acer-aspire-16-ai-a1.webp
Dell 15 DC15250 ODC1525002001RINS1 Laptop (Intel Core i3 100U/ 8GB/ 512GB SSD/ Win11),Dell,35990.0,4.15,,Windows 11 OS,Intel Core 3 100U,8 GB  RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ilYpxs27Y-w280-h280/dell-15-dc15250-odc1.webp
Lenovo Ideapad Slim 3i 83K100CAIN Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,51010.0,4.45,,Windows 11 OS,13th Gen Intel Core i5 13420H,8 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,15.3 inches,1920 x 1200 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-intdRNilr-w280-h280/lenovo-ideapad-slim.webp
HP ZBook Power G11 A8WN2PT Laptop (Intel Core Ultra 7-155H/ 32GB/ 1TB SSD/ Win11/ RTX 500 Ada 4GB Graphics),HP,172550.0,4.05,79.0,Windows 11 OS,Intel Core Ultra 7 Series 1 155H,32 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA RTX 500 Ada,16 inches,1920 x 1200 pixels,16 Cores (6P + 8E + 2LP-E), 22 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iE47oXoNC-w280-h280/hp-zbook-power-g11-a.webp
Microsoft Surface Pro 12 EP2-27654 Laptop (Snapdragon X Plus/ 16GB/ 256GB SSD/ Win11),Microsoft,88990.0,4.0,,Windows 11 OS,Qualcomm Snapdragon X Plus,16 GB  RAM,256 GB SSD,Qualcomm Adreno GPU,12 inches,2196 x 1464 pixels,Octa Core,,1 Year Warranty,https://cdn1.smartprix.com/rx-iVcQVJyD6-w280-h280/microsoft-surface-pr.webp
Microsoft Surface Pro 12 EP2-27670 Laptop (Snapdragon X Plus/ 16GB/ 512GB SSD/ Win11),Microsoft,97990.0,4.5,,Windows 11 OS,Qualcomm Snapdragon X Plus,16 GB  RAM,512 GB SSD,Qualcomm Adreno GPU,12 inches,2196 x 1464 pixels,Octa Core,,1 Year Warranty,https://cdn1.smartprix.com/rx-iSgEwf5nO-w280-h280/microsoft-surface-pr.webp
MSI Vector A18 HX A9WIG-088IN Gaming Laptop (AMD Ryzen 9 9955HX/ 32GB/ 2TB SSD/ Win11/ 16GB RTX 5080 Graphics ),MSI,339990.0,4.5,,Windows 11 OS,9th Gen AMD Ryzen 9 16 Core 9955HX,32 GB DDR5 RAM,2 TB SSD,16 GB NVIDIA GeForce RTX 5080,18 inches,2560 x 1600 pixels,16 Cores, 32 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-iefVdaPBE-w280-h280/msi-vector-a18-hx-a9.webp
Dell 14 Plus DB04255 2-in-1 Laptop (AMD Ryzen AI 7 350/ 16 GB/ 1TB SSD/Windows 11 Home),Dell,94990.0,4.7,52.0,Windows 11 OS,AMD Ryzen AI 7 350,16 GB LPDDR5X RAM,1 TB SSD,AMD Radeon 860M,14 inches,1920 x 1200 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iadREGldQ-w280-h280/dell-14-plus-db04255.webp
